# time; p[kw]
2014-06-19 12:35:36; 0.300
2014-06-19 12:40:36; 0.360
2014-06-19 12:45:36; 0.240
2014-06-19 12:50:36; 0.228
2014-06-19 12:55:36; 0.192
2014-06-19 13:00:36; 0.084
2014-06-19 13:05:36; 0.096
2014-06-19 13:10:36; 0.084
2014-06-19 13:15:36; 0.096
2014-06-19 13:20:36; 0.216
2014-06-19 13:25:36; 0.192
2014-06-19 13:30:36; 0.096
2014-06-19 13:35:36; 0.096
2014-06-19 13:40:36; 0.084
2014-06-19 13:45:36; 0.096
2014-06-19 13:50:36; 0.084
2014-06-19 13:55:36; 0.144
2014-06-19 14:00:36; 0.204
2014-06-19 14:05:36; 0.360
2014-06-19 14:10:36; 0.300
2014-06-19 14:15:36; 0.228
2014-06-19 14:20:36; 0.180
2014-06-19 14:25:36; 0.108
2014-06-19 14:30:36; 0.096
2014-06-19 14:35:36; 0.084
2014-06-19 14:40:36; 0.096
2014-06-19 14:45:36; 0.180
2014-06-19 14:50:36; 0.204
2014-06-19 14:55:36; 0.120
2014-06-19 15:00:36; 0.084
2014-06-19 15:05:36; 0.096
2014-06-19 15:10:36; 0.084
2014-06-19 15:15:36; 0.084
2014-06-19 15:20:36; 0.168
2014-06-19 15:25:36; 0.192
2014-06-19 15:30:36; 2.280
2014-06-19 15:35:36; 2.556
2014-06-19 15:40:36; 1.824
2014-06-19 15:45:36; 0.240
2014-06-19 15:50:36; 0.480
2014-06-19 15:55:36; 0.156
2014-06-19 16:00:36; 0.168
2014-06-19 16:05:36; 0.204
2014-06-19 16:10:36; 0.228
2014-06-19 16:15:36; 0.216
2014-06-19 16:20:36; 0.192
2014-06-19 16:25:36; 0.600
2014-06-19 16:30:36; 1.368
2014-06-19 16:35:36; 1.752
2014-06-19 16:40:36; 3.420
2014-06-19 16:45:36; 3.732
2014-06-19 16:50:36; 3.372
2014-06-19 16:55:36; 2.748
2014-06-19 17:00:36; 2.736
2014-06-19 17:05:36; 2.664
2014-06-19 17:10:36; 2.724
2014-06-19 17:15:36; 2.892
2014-06-19 17:20:36; 5.148
2014-06-19 17:25:36; 5.136
2014-06-19 17:30:36; 3.744
2014-06-19 17:35:36; 2.736
2014-06-19 17:40:36; 1.452
2014-06-19 17:45:36; 1.692
2014-06-19 17:50:36; 2.868
2014-06-19 17:55:36; 1.872
2014-06-19 18:00:36; 2.832
2014-06-19 18:05:36; 3.144
2014-06-19 18:10:36; 2.028
2014-06-19 18:15:36; 2.136
2014-06-19 18:20:36; 1.692
2014-06-19 18:25:36; 2.172
2014-06-19 18:30:36; 1.980
2014-06-19 18:35:36; 2.364
2014-06-19 18:40:36; 1.560
2014-06-19 18:45:36; 1.368
2014-06-19 18:50:36; 0.936
2014-06-19 18:55:36; 0.756
2014-06-19 19:00:36; 0.756
2014-06-19 19:05:36; 0.912
2014-06-19 19:10:36; 1.032
2014-06-19 19:15:36; 0.960
2014-06-19 19:20:36; 0.876
2014-06-19 19:25:36; 0.876
2014-06-19 19:30:36; 0.960
2014-06-19 19:35:36; 0.936
2014-06-19 19:40:36; 1.884
2014-06-19 19:45:36; 0.876
2014-06-19 19:50:36; 0.720
2014-06-19 19:55:36; 0.924
2014-06-19 20:00:36; 0.684
2014-06-19 20:05:36; 0.576
2014-06-19 20:10:36; 0.504
2014-06-19 20:15:36; 0.600
2014-06-19 20:20:36; 0.372
2014-06-19 20:25:36; 1.368
2014-06-19 20:30:36; 0.372
2014-06-19 20:35:36; 0.432
2014-06-19 20:40:36; 0.360
2014-06-19 20:45:36; 0.312
2014-06-19 20:50:36; 0.348
2014-06-19 20:55:36; 0.324
2014-06-19 21:00:38; 0.322
2014-06-19 21:05:36; 0.652
2014-06-19 21:10:36; 0.324
2014-06-19 21:15:36; 0.408
2014-06-19 21:20:36; 0.456
2014-06-19 21:25:36; 0.468
2014-06-19 21:30:36; 0.408
2014-06-19 21:35:36; 0.384
2014-06-19 21:40:36; 2.292
2014-06-19 21:45:36; 1.452
